candidate id,url,title,description,status,doc_title
667,http://newspapers.library.wales/view/3765498/3765502/16/Mexico,[No title]," quarters of Mexico. There is no other news of importance. RDates from Mexico to 17th July, announce that, the British Minister has advised the Mexican Government that decisive measures would probably be taken at once if the claims of English creditors were not settled before the next packet sailed. The French and Spanish 31inisters said their governments must do likewise. Herald Office, Friday, half-pas",,[No title]
668,http://newspapers.library.wales/view/4521435/4521438/24/Mexico,MEXICAN INDEBTEDNESS TO ENGLAND.," the Trite Cross tind; r which he professed to serve, and aided by which, (so said his followers^ he pro- ceeded to enact one of the most romantic characters, and one of the most extraordinary scenes in history that have ever been concei ved or ever heard of. The Spanish conquest of Mexico, a country then far more advanced in civilization than Spain was. rr Spain is, recals to the mind the miracles",,MEXICAN INDEBTEDNESS TO ENGLAND.
669,http://newspapers.library.wales/view/4520808/4520810/16/Mexico,LATER FROM AMERICA.I," Government, passed the Senate on the 20th. From New Mexico we iearn that the question of a territorial or a State Government was being warmly contested. From Canada we have no later intelligence. We have from Chagres advices to the 1st ultimo. From Mexico we learn that there had been a itilight and speedily qJclled attempt at insurrection in Tamaulipas. From Pernambuco, via Salem, we have accounts to the",,LATER FROM AMERICA.I
670,http://newspapers.library.wales/view/3395222/3395225/27/Mexico,TRADE OF THE PORT., IGN TRADEMONTH ENDING DEC. 5. Jutvards with cargoes. Outwards with Cargoes. Vessels belonging To»s. Tons to ,,TRADE OF THE PORT.
671,http://newspapers.library.wales/view/3394942/3394945/24/Mexico,OVKRLANO MAIL.,". Trade in exports dull. Imports in good demand. Calcutta exchange, 2ts. WEST INDIA MAIL. SOUTHAMPTON. WEDNESDAY MORNING. The Great Western steam-ship, Captain Wolff, arrived tills mornmg from Mexico bringing 5U,Îô\ dollars on account of the dividend, aud 753,049 dollars on merchants' account. Business was dull at Tampico. There was very little cholera at Vera Cruz. In Havannah it had nearly",,OVKRLANO MAIL.
672,http://newspapers.library.wales/view/4521111/4521116/29/Mexico,THE AMERICAN PRESIDENTS MESSAGE.,". Foreign relations generally are amicable and satis- factory. With Portugal, Brazil, Chili, Peru, and the Hawaiian kingdom, they are improved or improving. Mexico is being importuned to grant a more unrestricted right of way for a railroad across the hthmus of lehuan- tepec; and the Presideut hopes he shall arrango with Great Britain respecting the ocean ship-canal through Nicaragua, ""A tieatv has been",,THE AMERICAN PRESIDENTS MESSAGE.
673,http://newspapers.library.wales/view/4347526/4347530/49/Mexico,AMERICAN NEWS.,", to 78 dolls. Haytian currency. Advices from the city of Mexico to the loth ult. announce that the British Minister had had an official interview with President Arista, and had demanded a final answer to Lord Palmerston's dispatches relative to the debts of Mexico. It also reported that unless the answer is satisfactory all the Mexican ports will be blockaded. The steam-ship Cherokee, with advices",,AMERICAN NEWS.
674,http://newspapers.library.wales/view/3614409/3614411/16/Mexico,UNITED STATES.,"- rington as Secretary of the Navy, until the intended occu pants of those offices arrive in Washington. President Fillmore's selection for chief departments appears to give general satisfaction. The Delegate to Congress from New Mexico had been re- fused",,UNITED STATES.
675,http://newspapers.library.wales/view/4521405/4521407/3/Mexico,FOREIGN AND COLONIAL SUMMARY. j," Dominican frontier without heing molestell; and it was reported that the difficulty between the Dominican and Ilaytian Governments had been amicably settled. Coffee was scarce, and logwood had advanced to 10 dolls, per hundred. Accounts from St. Thomas to the 21st lilt. are devoid of interest. Our advices from the city of Mexico extend to the ltith ult. The Lettis!ature was to assemble on the 20th. The",,FOREIGN AND COLONIAL SUMMARY. j
676,http://newspapers.library.wales/view/4520967/4520971/31/Mexico,FOREIGN AND COLONIAL SUMMARY. I,FOREIGN AND COLONIAL SUMMARY. I The Steam-ship Canada arrived at Liverpool on Monday morning from New York and Halifax. The California Bill had received the formal sanction of the Legislature. A Bill establishing a territorial Government in New Mexico had also passed. On the 6th instant President Fillmore addressed to the Houses of Congress a long and important Message on the question of New,,FOREIGN AND COLONIAL SUMMARY. I
677,http://newspapers.library.wales/view/3394816/3394817/4/Mexico,THE UNITED STATES.," Rivers, in connection with the School Act. I he as- sessor's house was burnt. The military were obliged to be callcd out. ,c A fire, which broke broke out at Montieal on the loth February, had burnt the Canadian Institute Library and the Governor's office. We learn from Mexico that the new Mexican tariff is ordered to be carried into effect in Yucatan,",,THE UNITED STATES.
678,http://newspapers.library.wales/view/3395154/3395157/28/Mexico,TRADE OF THE PORT., States O 0 3  610 Austria 0 0 2 950 Greece 0 0 0 1 387 United States.. 1 336 12 6518 Matta 0 0 1 .0 278 Mexico 0 0 0 0 o. 0 0 Total 11 2468 '0 75 21193,,TRADE OF THE PORT.
679,http://newspapers.library.wales/view/3395179/3395182/30/Mexico,TRADE OF THE PORT., France 3 219 4 573 Italian States 0 0 0   0 Austria 0 0 0 0 Turkey 0 0 1  274 Greece 0 0 1   269 United States 0 0 4 2337 Mexico 0 0 0   0 Total 12 3391 51 14775 -+-,,TRADE OF THE PORT.
680,http://newspapers.library.wales/view/4347284/4347286/7/Mexico,^ AMERICAN NEWS. I," satisfac- tory. With Portugal, Brazil, Chili, Peru, and the Hawaiian kingdom, they are improved or improving. Mexico is being importuned to grant a more unrestricted right of way for a railroad across the Isthmus of Te- huantepec and the President hopes he shall arrange with Great Britain respecting the ocean ship-canal, through Nicaragua. He says that a treaty has been ratified by the United States and",,^ AMERICAN NEWS. I
681,http://newspapers.library.wales/view/4347079/4347081/8/Mexico,AMERICA.ARRIVAL OF THE EUROPA. j .i," three millions of dollars. From Canada we learn that serious riots had taken place at Three Rivers, in connection with the School Act. The assessor's house was burnt. The military were obliged to be called out. A fire which broke out at Montreal on the 18th of February had burnt the Canadian Institute Library and the Governor's office. We learn from Mexico that the new Mexican tariff is ordered to be",,AMERICA.ARRIVAL OF THE EUROPA. j .i
682,http://newspapers.library.wales/view/4347429/4347431/11/Mexico,AMERICA.I," with specie to the amount of 500,000 dollars. She sailed from the latter port on the 14th ult. The United States mail steam ship Arctic, Captain Luce, arrived at New York on the 23rd ult. The yacht North America had sailed for England. There is no news of poiitioat importance from the United States. It was rumoured that a project was on foot by Mexico, to sell Lower California to the United States",,AMERICA.I
683,http://newspapers.library.wales/view/4520828/4520831/19/Mexico,LATEST FKOM AMERICA.," Cambridge. The great sea-serpent has been run ashore at Charles- ton from the city of Mexico, vid New Orleans, we ha'c advices to the 13th of Februsry,:nnounci.n ::t another resolution in favour of Sant A.na he5 been discovered and promptly frustrated. A per- tax of one shilling per month had been laid on all persons above eighteen yeans of age throughout the State. The death of General Canales is an- 1,C",,LATEST FKOM AMERICA.
684,http://newspapers.library.wales/view/3053416/3053418/22/Mexico,SOUTH WALES RAILWAY.,"SOUTH WALES RAILWAY. Sin, It has been asked what good will this railway con- fer upon that beautiful, that capacious, that far-famed and advantageous portMilford IJavcn. Same say the benefits contemplated are exaggerated Refore such can be the fact, we must disbelieve the costly fond coveted foreign products which will reach its shores; the gold from California; the silver from Mexico and Chili",,SOUTH WALES RAILWAY.
685,http://newspapers.library.wales/view/4401531/4401535/38/Mexico,I A3IEBICA. I," o ddoleri. Ni ddygodd. dim [ newydd o bwys. Yr oedd y dwvmyn felen w&di-tori; a allan yn Mobile. Cynnaliwyd cyfarfod yn Boston ar ran Smith O'Brien, a'r gwrthryfelwyr GwyddeHg ereill, a phendm-fynwyd deisebu y Llywydd Fillmore i ddefnyddio ei ddvlanwad ar yr aehos. -IIae;r hauesion o Mexico Ogleddol yn ein hvsbysu fod v ;;wrt1;ryld yn myned yn mlaen yn gyt'ym, a (f bod ganddynt dueng mil o wyr.",,I A3IEBICA. I
686,http://newspapers.library.wales/view/3614400/3614403/20/Mexico,"UNITED STATES,"," they now consider executive simply, not advisory. The President, it is understood, has determined to pursue the policy marked out by General Taylor respecting New Mexico, and will act upon it as soon as the Cabinet shall be formed. According to a Washington correspondent of the New York jExpress one list of a new Administration is as follows :For Secre- tary of State, Mr. R. C. Winthorp for",,"UNITED STATES,"
687,http://newspapers.library.wales/view/4401481/4401485/41/Mexico,MAN ION.," cynygiad yn Ngyngoriys Mexico i uttal adeiiuau viwyryfdai, ac i basio deddf i rwystro i un- rhyw ferch o dan bump ar bugain oed, i gyuieryd y gorehudd. Da iawn. Y mae Gohebydd yn y Boston Museum yn dyweyd am olygydd y Chronotype fel y canlyn Gwvbuwyd iddo ysgrilenu a phin yn rnhub llavi',ar ddau o wahan- ol faterion, sigi(ilt- cryd a'i dracd,a chuibianna Bu.;l Coluiiibiii i'r ddau efell, tra yn darllen",,MAN ION.
688,http://newspapers.library.wales/view/3614310/3614313/13/Mexico,UNITED STATES.," was wholly un- interesting. A Pill for the relief of the sureties of the steamer United States, sold to the German Government, passed the Senate on the 20th. From New Mexico we learn that the question of a territorial or State Government was being warmly contested. From Canada we have no later intelligence.",,UNITED STATES.
689,http://newspapers.library.wales/view/4520949/4520955/33/Mexico,THE MEXICAN WARTHE YANKEE SOLDIER'S I COMPLAINT.,"' speechified, an' to the buzzards sold us. Wal, arter I gin glory up, thinks I at least there's one Thing m theMUs we aint hed yet, an' that's the ??riout/uH: Ef once we git to Mexico, I fairly m presume we o:;e ;¡h :a:'e{ [:lt :fiapste':my, I'll teil ye wuz my revels wut, an' see how you like 'em, '?e never got inside the hall; the nighest ever I come Wuz stan'n' sentry in the sun (an' fact it seemed a",,THE MEXICAN WARTHE YANKEE SOLDIER'S I COMPLAINT.
690,http://newspapers.library.wales/view/4520838/4520840/17/Mexico,LATEST NEWS BY EXPRESS.," body to consider the admission of Cali- fornia and the establishment of a Territorial Go- vernment for New Mexico, as parts of one subjeet. and to act upon both or upon neither. Mr, Webster has irotbd throughout with the South upon these ques- tions. Amongst the miscellaneous proceedings may be noted the presentation of a memorial from Mr. Henry. Grinnell, of New York, asking the appointment of",,LATEST NEWS BY EXPRESS.
691,http://newspapers.library.wales/view/4520838/4520841/27/Mexico,CAPL OF GOOD IIOPB.I," Representatives. -His bill proposes to admit California as she is, with h r constitutional boun- daries, and' to provide territorial governments fo' Utah and New Mexico, without including the Wilmot proviso thus virtually leaving the question of the existence of slavery to the inhabitants when they shall for.. state constitution. It provides, also, for the formation of new states in Texas, with the view",,CAPL OF GOOD IIOPB.I
692,http://newspapers.library.wales/view/3090160/3090164/44/Mexico,FOREIGN7 INriSLLIGBNGlS.j," 4,967,9Jl dollars were in specie. Tiie exports were 217,517,L;3I). dollars of which 57,85-4,055,55 dollars were domestic, and 9,738,095 dottats foreign products. Specie exported, 20,V31,880 dolUrs since December lallt. The payments of principal of the debt were 7,501,450,56, which is inclusive of 3,242.400 dollars, paid under the 12th, article of the treaty with Mexico, and 2,501,212,45 dollars awards",,FOREIGN7 INriSLLIGBNGlS.j
693,http://newspapers.library.wales/view/4347516/4347518/7/Mexico,i I. ! ... IAMERICA.," Mexico. The re'otution, it appears, is progressing at a rapid rate, and is supported by 10,000 men. 400 of whom, it is said, are from the neighbouring state of Texas. Metamoras was the point threatened at the last accounts. The insurrection, the New York. Herald sayt, was assuming a very important shape. The government of Mexico is incapable of resisting it, being without both money and credit. However",,i I. ! ... IAMERICA.
694,http://newspapers.library.wales/view/4520913/4520918/23/Mexico,FOREIGN AND COLONIAL SUMMARY.," population of Cuba against the United States, is expressed without disguise. Roncoli has lost ground in public opinion, on account of his apparent lenity An attempt has been made to depose him from office, in favour of Armero, the chief of the Marine force. The InJinn depredations by the last """"C""t. were continued vith unabated violence in New Mexico. Ten American citizens were murdered by the Apaches in",,FOREIGN AND COLONIAL SUMMARY.
695,http://newspapers.library.wales/view/3395197/3395200/29/Mexico,TRADE OF OCTOBER IO-,  0 * 1754 Greece ..0 * J; 4 0 United States.. 0  n 0 Mexico 0  13487 Total .IT 1168 I FREIGHTS FROM NEWPORT. Liverpool .iron 7s Od Gibraltar coal 10s Od Liverpool .coal 6s 9d I Cape de Verd.coal 16s 0d London .iron 8s 6d j Barcelona .coal lis 6,,TRADE OF OCTOBER IO-
696,http://newspapers.library.wales/view/4347214/4347216/8/Mexico,AMERICAN NEWS.I," York is to the 30th ult., 6 P.M., to the fullu,vii)g effect ""Professor Webster was executed at Boston that morning. ""Property was destroyed by fire in Montreal on the preceding Saturday to the amount of £ 100,000. Accounts of the 13th of August from Mexico mention the disappearance of cholera, after 100 days' duration, and 18,000 deaths in that city alone. The Mexican Congress was installed on the",,AMERICAN NEWS.I
697,http://newspapers.library.wales/view/4520868/4520872/20/Mexico,[No title],"There have been some striking events com- municated from foreign countries and the colo- nies. Ithaslongbeenknownthatsomcofthe more unprincipled of the American people have had a desire for the acquisition and an- nexation to their Cnion of the magnificent island of Cuba, which is a dependency of Spain and the successes of their nation's arms in Mexico warmed them with the idea that they might",,[No title]
698,http://newspapers.library.wales/view/4521430/4521432/5/Mexico, FOREIGN AND COLONIAL SUMMARY. ! I I," disregarded; two men convicted of highway robbery had been taken by force from the authorities and executed. The accounts from the mines continued to be satisfactory. Disturbances had broken out in pit-ts ofnartlierii Mexico, and that Government had sent a,ooo men to defend Tehuantepec. Don Fernando Ramnez had ae- cepted the appointment of Minister of Foreign Atfairs, and was charged with the formation of a",, FOREIGN AND COLONIAL SUMMARY. ! I I
699,http://newspapers.library.wales/view/4521273/4521276/19/Mexico,[No title],"MONKY-TAKING EXTRAORDINARY.Mr. Bochsa having, with Iatl. Anna Bishop, given a concert in one of the towns of the interior of Mexico, was rather startled, when the gallery moncy-taker came to him to pa over the taking of the ?,in,, to fi I that those takings con- sisted of n uiner. us of yellow soap, lots of cigars, two live fighting-cocks, and sundry other articles of small money, current in the",,[No title]
700,http://newspapers.library.wales/view/4521102/4521107/21/Mexico,LATEST INTELLIGENCE.," January. Ex- chequer-bills have been 64s to 67s., and India Bonds 82s. to 85s. premium. Bank Stock is steady at 2131 to 214. In the Foreign Market there has been considerable ex- citement, the intellige nce from Mexico as to a settlement of the debt, the Bill having having passed the Senate ac- cording to the terms agreed upon in the Chamber of Deputies having led to a rise of about two per cent., ViZ",,LATEST INTELLIGENCE.
701,http://newspapers.library.wales/view/4521360/4521362/10/Mexico,FOREIGN AND COLOXIAL SUMMARY," accused v.as charged with stealing arms and equipments in order to make his offence iadict- able under the conditions of the treaty. The Xew Yorn Tribune mentions the suspension of the houses of H and Co., and the banking house of It. Kandon anù Co. J: was expected the liabilities would be paid in full. TU balance of the fourth instalment of the indemnity -o Mexico was paid into the United States",,FOREIGN AND COLOXIAL SUMMARY
702,http://newspapers.library.wales/view/4520763/4520765/19/Mexico,MONEY MARKET -AND CITY NEWS.i," respects the tone of the Mesage and the accounts generally are Fa,isfactory.-The Stock Market in New York was rather flit but it was ac- 1:1::1 ir 'h; ;la'r JI,(' d)t lars being required by the central covernment to liqui- date the arrears of the debt incurred by their unjusti- fiable aggression upon Mexico. At the half-yearly meet- ing of the Colonial Bank, on Tuesday, the dividend de, clared was at",,MONEY MARKET -AND CITY NEWS.i
703,http://newspapers.library.wales/view/4521415/4521417/7/Mexico,FOREIGN AND COLONIAL SUMMARY.I," belonging to her was also drowned. Advices from Santa Fé, New Mexico, to the :2Hth of July have been received, which report that the Navijo Indians had killed eleven persons and wounded eight others, but the cause is not stated. Pieces of gold, weighing from six to eight ounces, have been found in the 11 placer,"" near Santa Fe. Great injury bad resulted from drought in New Mexico. Kossuth was at La Spez",,FOREIGN AND COLONIAL SUMMARY.I
704,http://newspapers.library.wales/view/3598730/3598736/33/Mexico,Europe Reviewed : a Series of,"; but they will both fill a niche in the temple of fame so long as the golden tide of that region continues to flow. Ambition may lead another President, to the viiii of possessing Mexico or he may be driven to that course by the restless energy of the American character. This would be a desirable result, as regards England, more especially if it could be attained by pcuceable means. Mexico owes",,Europe Reviewed : a Series of
